game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total
2024_05_ARI_SF,2024,5,2024-10-06,ARI,SF,47.0,48.5,-112.0,-108.0,total_sin_mercado,48.74384673553344,1.7438467355334382,1.7438467355334382,0.0,0.0
2024_05_BAL_CIN,2024,5,2024-10-06,BAL,CIN,79.0,48.5,-108.0,-112.0,total_sin_mercado,41.96118032172416,-37.03881967827584,37.03881967827584,1.0,0.0
2024_05_BUF_HOU,2024,5,2024-10-06,BUF,HOU,43.0,48.0,-110.0,-110.0,total_sin_mercado,45.19607353121665,2.1960735312166477,2.1960735312166477,0.0,0.0
2024_05_CAR_CHI,2024,5,2024-10-06,CAR,CHI,46.0,40.0,-112.0,-108.0,total_sin_mercado,40.52388750680562,-5.476112493194378,5.476112493194378,1.0,0.0
2024_05_CLE_WAS,2024,5,2024-10-06,CLE,WAS,47.0,44.0,-108.0,-112.0,total_sin_mercado,52.436081961946435,5.436081961946435,5.436081961946435,1.0,0.0
2024_05_DAL_PIT,2024,5,2024-10-06,DAL,PIT,37.0,43.5,-112.0,-108.0,total_sin_mercado,45.87828796695809,8.87828796695809,8.87828796695809,0.0,0.0
2024_05_GB_LA,2024,5,2024-10-06,GB,LA,43.0,49.5,-108.0,-112.0,total_sin_mercado,50.07276286874063,7.072762868740632,7.072762868740632,0.0,0.0
2024_05_IND_JAX,2024,5,2024-10-06,IND,JAX,71.0,45.0,-110.0,-110.0,total_sin_mercado,41.404521882098244,-29.595478117901756,29.595478117901756,1.0,0.0
2024_05_LV_DEN,2024,5,2024-10-06,LV,DEN,52.0,36.0,-112.0,-108.0,total_sin_mercado,43.6589204169132,-8.341079583086803,8.341079583086803,1.0,0.0
2024_05_MIA_NE,2024,5,2024-10-06,MIA,NE,25.0,37.0,-112.0,-108.0,total_sin_mercado,46.47610946226874,21.476109462268738,21.476109462268738,0.0,0.0
2024_05_NYG_SEA,2024,5,2024-10-06,NYG,SEA,49.0,42.5,-110.0,-110.0,total_sin_mercado,49.01266941628065,0.012669416280651546,0.012669416280651546,1.0,0.0
2024_05_NYJ_MIN,2024,5,2024-10-06,NYJ,MIN,40.0,42.0,-108.0,-112.0,total_sin_mercado,41.91235906442556,1.9123590644255586,1.9123590644255586,0.0,0.0
2024_05_NO_KC,2024,5,2024-10-07,NO,KC,39.0,43.0,-110.0,-110.0,total_sin_mercado,47.17125451121254,8.171254511212538,8.171254511212538,0.0,0.0
2024_06_SF_SEA,2024,6,2024-10-10,SF,SEA,60.0,49.0,-110.0,-110.0,total_sin_mercado,46.094882051662104,-13.905117948337896,13.905117948337896,1.0,0.0
2024_06_ARI_GB,2024,6,2024-10-13,ARI,GB,47.0,47.0,-110.0,-110.0,total_sin_mercado,50.34743120885788,3.347431208857877,3.347431208857877,0.0,1.0
2024_06_ATL_CAR,2024,6,2024-10-13,ATL,CAR,58.0,45.5,-110.0,-110.0,total_sin_mercado,41.65180759588494,-16.34819240411506,16.34819240411506,1.0,0.0
2024_06_CIN_NYG,2024,6,2024-10-13,CIN,NYG,24.0,46.0,-118.0,-102.0,total_sin_mercado,44.36374839979663,20.363748399796627,20.363748399796627,0.0,0.0
2024_06_CLE_PHI,2024,6,2024-10-13,CLE,PHI,36.0,42.0,-110.0,-110.0,total_sin_mercado,43.77441839199359,7.774418391993592,7.774418391993592,0.0,0.0
2024_06_DET_DAL,2024,6,2024-10-13,DET,DAL,56.0,52.5,-110.0,-110.0,total_sin_mercado,46.297736494732966,-9.702263505267034,9.702263505267034,1.0,0.0
2024_06_HOU_NE,2024,6,2024-10-13,HOU,NE,62.0,38.5,-108.0,-112.0,total_sin_mercado,41.222141860032146,-20.777858139967854,20.777858139967854,1.0,0.0
2024_06_IND_TEN,2024,6,2024-10-13,IND,TEN,37.0,42.0,-108.0,-112.0,total_sin_mercado,43.32209796641861,6.32209796641861,6.32209796641861,0.0,0.0
2024_06_JAX_CHI,2024,6,2024-10-13,JAX,CHI,51.0,44.5,-112.0,-108.0,total_sin_mercado,40.78538271470464,-10.214617285295361,10.214617285295361,1.0,0.0
2024_06_LAC_DEN,2024,6,2024-10-13,LAC,DEN,39.0,37.0,-112.0,-108.0,total_sin_mercado,32.98413906744503,-6.015860932554972,6.015860932554972,1.0,0.0
2024_06_PIT_LV,2024,6,2024-10-13,PIT,LV,45.0,36.5,-112.0,-108.0,total_sin_mercado,35.89161572330549,-9.108384276694508,9.108384276694508,1.0,0.0
2024_06_TB_NO,2024,6,2024-10-13,TB,NO,78.0,42.5,-110.0,-110.0,total_sin_mercado,47.79946481795606,-30.200535182043943,30.200535182043943,1.0,0.0
2024_06_WAS_BAL,2024,6,2024-10-13,WAS,BAL,53.0,51.5,-110.0,-110.0,total_sin_mercado,55.2258582361915,2.225858236191499,2.225858236191499,1.0,0.0
2024_06_BUF_NYJ,2024,6,2024-10-14,BUF,NYJ,43.0,42.0,-110.0,-110.0,total_sin_mercado,41.84547885437778,-1.154521145622219,1.154521145622219,1.0,0.0
2024_07_DEN_NO,2024,7,2024-10-17,DEN,NO,43.0,37.0,-110.0,-110.0,total_sin_mercado,42.958361741936926,-0.04163825806307386,0.04163825806307386,1.0,0.0
2024_07_CAR_WAS,2024,7,2024-10-20,CAR,WAS,47.0,51.0,-110.0,-110.0,total_sin_mercado,49.50298828989106,2.502988289891057,2.502988289891057,0.0,0.0
2024_07_CIN_CLE,2024,7,2024-10-20,CIN,CLE,35.0,42.0,-108.0,-112.0,total_sin_mercado,42.669700748088886,7.669700748088886,7.669700748088886,0.0,0.0
2024_07_DET_MIN,2024,7,2024-10-20,DET,MIN,60.0,50.5,-108.0,-112.0,total_sin_mercado,46.57125398070336,-13.42874601929664,13.42874601929664,1.0,0.0
2024_07_HOU_GB,2024,7,2024-10-20,HOU,GB,46.0,48.0,-112.0,-108.0,total_sin_mercado,49.691924765067355,3.6919247650673555,3.6919247650673555,0.0,0.0
2024_07_KC_SF,2024,7,2024-10-20,KC,SF,46.0,47.5,-110.0,-110.0,total_sin_mercado,46.25557486968447,0.25557486968447307,0.25557486968447307,0.0,0.0
2024_07_LV_LA,2024,7,2024-10-20,LV,LA,35.0,43.0,-115.0,-105.0,total_sin_mercado,48.07017491401518,13.070174914015183,13.070174914015183,0.0,0.0
2024_07_MIA_IND,2024,7,2024-10-20,MIA,IND,26.0,44.0,-112.0,-108.0,total_sin_mercado,43.458303624792094,17.458303624792094,17.458303624792094,0.0,0.0
2024_07_NE_JAX,2024,7,2024-10-20,NE,JAX,48.0,42.0,-112.0,-108.0,total_sin_mercado,41.98412044676512,-6.015879553234882,6.015879553234882,1.0,0.0
2024_07_NYJ_PIT,2024,7,2024-10-20,NYJ,PIT,52.0,40.0,-110.0,-110.0,total_sin_mercado,36.920977623030254,-15.079022376969746,15.079022376969746,1.0,0.0
2024_07_PHI_NYG,2024,7,2024-10-20,PHI,NYG,31.0,42.0,-110.0,-110.0,total_sin_mercado,43.286353257971825,12.286353257971825,12.286353257971825,0.0,0.0
2024_07_SEA_ATL,2024,7,2024-10-20,SEA,ATL,48.0,51.5,-110.0,-110.0,total_sin_mercado,52.09660633659127,4.096606336591272,4.096606336591272,0.0,0.0
2024_07_TEN_BUF,2024,7,2024-10-20,TEN,BUF,44.0,41.0,-112.0,-108.0,total_sin_mercado,45.97382345712203,1.9738234571220303,1.9738234571220303,1.0,0.0
2024_07_BAL_TB,2024,7,2024-10-21,BAL,TB,72.0,51.0,-110.0,-110.0,total_sin_mercado,52.19262044554171,-19.807379554458286,19.807379554458286,1.0,0.0
2024_07_LAC_ARI,2024,7,2024-10-21,LAC,ARI,32.0,44.0,-112.0,-108.0,total_sin_mercado,39.77727454579885,7.7772745457988535,7.7772745457988535,0.0,0.0
2024_08_MIN_LA,2024,8,2024-10-24,MIN,LA,50.0,47.5,-110.0,-110.0,total_sin_mercado,49.945377522867894,-0.05462247713210644,0.05462247713210644,1.0,0.0
2024_08_ARI_MIA,2024,8,2024-10-27,ARI,MIA,55.0,46.5,-110.0,-110.0,total_sin_mercado,40.69451064738045,-14.305489352619553,14.305489352619553,1.0,0.0
2024_08_ATL_TB,2024,8,2024-10-27,ATL,TB,57.0,47.0,-112.0,-108.0,total_sin_mercado,46.74499399863287,-10.255006001367128,10.255006001367128,1.0,0.0
2024_08_BAL_CLE,2024,8,2024-10-27,BAL,CLE,53.0,44.5,-115.0,-105.0,total_sin_mercado,45.08827655128907,-7.91172344871093,7.91172344871093,1.0,0.0
2024_08_BUF_SEA,2024,8,2024-10-27,BUF,SEA,41.0,45.5,-115.0,-105.0,total_sin_mercado,43.81624267756657,2.8162426775665708,2.8162426775665708,0.0,0.0
2024_08_CAR_DEN,2024,8,2024-10-27,CAR,DEN,42.0,40.5,-108.0,-112.0,total_sin_mercado,38.143494505031065,-3.8565054949689355,3.8565054949689355,1.0,0.0
2024_08_CHI_WAS,2024,8,2024-10-27,CHI,WAS,33.0,46.5,-112.0,-108.0,total_sin_mercado,47.58354222547973,14.583542225479732,14.583542225479732,0.0,0.0
2024_08_DAL_SF,2024,8,2024-10-27,DAL,SF,54.0,48.0,-110.0,-110.0,total_sin_mercado,48.56293504400183,-5.437064955998167,5.437064955998167,1.0,0.0
2024_08_GB_JAX,2024,8,2024-10-27,GB,JAX,57.0,49.0,-108.0,-112.0,total_sin_mercado,45.635269091826665,-11.364730908173335,11.364730908173335,1.0,0.0
2024_08_IND_HOU,2024,8,2024-10-27,IND,HOU,43.0,45.0,-112.0,-108.0,total_sin_mercado,49.04697873884714,6.046978738847137,6.046978738847137,0.0,0.0
2024_08_KC_LV,2024,8,2024-10-27,KC,LV,47.0,42.0,-112.0,-108.0,total_sin_mercado,43.63633157631008,-3.363668423689923,3.363668423689923,1.0,0.0
2024_08_NO_LAC,2024,8,2024-10-27,NO,LAC,34.0,41.5,-112.0,-108.0,total_sin_mercado,48.53911063369152,14.539110633691521,14.539110633691521,0.0,0.0
2024_08_NYJ_NE,2024,8,2024-10-27,NYJ,NE,47.0,41.0,-110.0,-110.0,total_sin_mercado,30.48638238161562,-16.51361761838438,16.51361761838438,1.0,0.0
2024_08_PHI_CIN,2024,8,2024-10-27,PHI,CIN,54.0,47.5,-112.0,-108.0,total_sin_mercado,46.93818244085051,-7.061817559149489,7.061817559149489,1.0,0.0
2024_08_TEN_DET,2024,8,2024-10-27,TEN,DET,66.0,45.0,-112.0,-108.0,total_sin_mercado,47.12045084402979,-18.87954915597021,18.87954915597021,1.0,0.0
2024_08_NYG_PIT,2024,8,2024-10-28,NYG,PIT,44.0,37.5,-110.0,-110.0,total_sin_mercado,39.84164107376958,-4.15835892623042,4.15835892623042,1.0,0.0
